,inputs,outputs
0,"i will go with you.
",i am not .
1,"okay  got light duty, three days.
",i am sorry .
2,"how the fuck you get over here man, you look like you educated...
","i am sorry , i am sorry ."
3,"you okay man? neck botherin' you?
",i do n't know .
4,"no, thanks...
",i am sorry .
5,"...you know that night we got hit... i... 
","i am sorry , i am sorry ."
6,"yo getting there taylor. you be cool now and i will introduce you 'round to some of the 'heads'.
",i do n't know .
7,"three years, jesus, he is crazy as barnes...
","i am sorry , i am sorry ."
8,"must be somebody?
",i am not a lesbian .
9,"'people say i am the life of the party cause i tell a joke or two although i may be laughing loud and hardy deep inside i am blue...'
",i have got a little surprise .
10,"hey that is great king, that is great... you take it on home for me, you tell 'em king... got your address right? you know where you can reach men, man. anytime!
","okay , i will take it ."
11,"...motherfuckah, motherfuckah, i am too short to be dealing with this shit! they keep fucking with us man, no letup...
",what ?
12,"you volunteered for this shit man?
",i do n't know .
13,"what we got here a crusader?
",i do n't know .
14,"shit! morehouse and sal are short. fu sheng's going on r&r, you don't want to send their asses out on an ambush. you got the fresh meat elias.
","okay , but i have got a idea to have a big ."
15,"excuses are like assholes, taylor  everybody got one.
",i am not .
16,"tell six we need engineers here, this pos. is crawling with traps.
",i do n't know .
17,"alright, six says torch this place! blow the weapons in place. round up all suspected vee cees and shake it up! we ain't got much light left.
",are not not .
18,"sounds pretty far out to me 'lias.
",i know .
19,"whatcha doing in the underworld taylor?
",i do n't know .
20,"merle?
",yes ?
21,"whew!  where that come from?
",i do n't know .
22,"i know barnes six months and i will tell ya something  that man is mean, red in his soul like a dick on a dog.
",i do n't know .
23,"he done a year in japan in the hospital, then when he gets out, the first thing he done is reup. four years he been in the field...
",are just going to the vessel .
24,"the good lord works his revenge in strange ways.
",i am sorry .
25,"not the only man to meet his jezebel either.
",i am sorry .
26,"then you jes gonna forget 'bout elias and all the good times we done had? right in here.
",i do n't know .
27,"right on.
",i am sorry .
28,"and baaaaaaa! back on you.
",i am sorry .
29,"i didn't like it.
",i am not .
30,"tennessee someplace. hill country.
",i am sorry .
31,"well he ain't normal that is fo sure.
",i am sorry .
32,"i was home on leave y'know and everybody's just worried 'bout making money, everybody's out for themselves, they don't even want to talk about it man, it's like the fucking twilight zone back there  you wouldn't even know there's a war on here. my sister says to me why you have to go there like i started this...
",i am not !
33,"you wanted to see me sir?
",i am not sure .
34,"no thanks, i have seen seattle.
",i am sorry .
35,"same as an hour ago. remember? i am the steady type.
",you are not going to do it .
36,"you could tell me your name. and where you are going.
",i am sorry .
37,"or reno?  they always throw them off the bridge there, i have heard.
",i do n't know .
38,"nice room. balcony and everything. lovely view too.
",i am sorry .
39,"i have a darned good idea you are name isn't betty mayfield at all.
",i do n't know .
40,"dine and dance tonight? i have got fifty bucks to throw away.
",i do n't know .
41,"the brushoff, huh?
",i am sorry .
42,"don't i even get my face slapped?
",i do n't know .
43,"betty, this is margo west. she wants to meet you. miss mayfield.
",you are not going to do with me .
44,"i think i would like to dance.
",i am not .
45,"please be a little more careful how you talk, mr. mitchell.
",i am sorry .
46,"i think you are drunk.
",i am not .
47,"what is the matter, baby? don't you like being kissed?
",i do n't know .
48,"good evening, miss.
",good morning .
49,"they might think i was running away from something.
",i am not going to see you .
50,"good morning. can i do something for you?
",i do n't know .
51,"you can have the table yourself, if you would rather. i am only killing time.
",i do n't know .
52,"your liquor laws..
",i am homesick .
53,"a fellow named brandon has a penthouse here. he is holding open house. i was up there. too noisy. bored.
",you are a little overqualified .
54,"you are not paying for this. it's quite enough that you let me sit at your table.
",i do n't know .
55,"neatly said...but to the wrong man. the trouble with pretty girls is that they cannot imagine anyone thinking of anything else but the fact they are pretty girls. i get tired of it.
",i have to go .
56,"dance?
",yes .
57,"i know it's a littler late for an apology.
",i am sorry .
58,"you said it wasn't a tragedy.
",i am sorry .
59,"there isn't one.. that anyone would believe. i went for a walk after dinner, down to the ocean...alone... i came up and went to bed. i didn't sleep very well. then there was a thunderstorm. and it began to rain. i went across to close the french door. that is the first time i saw him out there.
",where are not not .
60,"no. and i have never fired a gun in my life, aren't you supposed not to touch it?
",i do n't know .
61,"they will know whether he killed himself.
",i am not afraid .
62,"go ahead...if you want to. it doesn't matter.
",i do n't know .
63,"you tried to run away.
",i am not .
64,"want a spike in it?
",i do n't know .
65,"there's one thing i may as well tell you. you will find it out anyhow. i tried to run awaywhen i found him out there on the balcony. there wasn't any plane.
",i do n't know .
66,"bad?
",i am sorry .
67,"what time is it?
",i do n't know .
68,"cold?
",yes .
69,"want to dance?
",i do n't know .
70,"that man over there. he was in the hotel lobby.
",i am sorry .
71,"quite sure you saw him in the hotel lobby?
",i do n't know .
72,"he is a fellow with a very hard knee, and he knows how to use it.
",i do n't know .
73,"it still doesn't matter if i kiss you?
",i do n't know .
74,"that is the second round i have lost tonight.  that fellow hurt me.
",you are not going to do it .
75,"it sounds like a fair location. could you be a little more exact?
",i do n't know .
76,"cant be too close for me.  right across the street from it suits me.  anything else listed?
",i do n't know .
77,"i hated to go to that place.  i almost went to the police station instead.
",i am sorry .
78,"if you meant it, you wouldn't show it to me, betty.  or am i supposed to deliver it to dear inspector killaine?
",no .
79,"take me where i haven't the courage to take myself.
",i am not going to be a jets .
80,"this is the ace, betty.  but not of spades.  they will find out about the other.  they might know already. and when they get this  what would they look for?  where? out there somewhere? 
",i am not .
81,"you will be safe here.  i will not be long.  help yourself to anything you want. the galley's through there.  you can make coffee if you like.
",i have to go .
82,"i would still go througheven if i ended up in jail.
",i am not going to be a jets .
83,"well?
",yes .
84,"killaine's wise.  we cannot wait any longer.  here, put this on.  but stay out of sight until we clear the harbor.  i will tell you when. 
",i am not .
85,"see anything?
",i am sorry .
86,"cold?
",yes .
87,"i decided i didn't want a drink...i am beginning to wonder.
",i do n't know .
88,"funny, i never thought of you that way.  you were so close too.  we were all pretty stupid about you.
",i do n't know .
89,"in a way.
",i am sorry .
90,"it buys things, just like any other kind.
",i am sorry .
91,"you will never make it.  you have out smarted yourself.
",i am sorry .
92,"it wasn't the time or place.  don't worry about the note, baby.  i am playing for my neck now.
",i do n't know .
93,"this is it, betty.  they will find us again, fog or no fog.
",i do n't know .
94,"i think you mean that.
",i am not .
95,"yes, miss.
",what is it ?
96,"mrs. west is a very emotional woman.
",i am sorry .
97,"please answer my question.
",i am not .
98,"well, that is not getting us anywhere. you will not tell me who you are, or give any account of yourself. you will not even give me your address in the united states. why? unhappy marriage?
",i do n't know .
99,"your family coat of arms, mr. killaine?
","yes , sir ."
100,"what this?
",i do n't know .
101,"an unhappy marriage hardly seems a sufficient reason for that.
",i am sorry .
102,"good morning, mr. killaine. i am sorry i cannot give you the name of my bankbecause i have no bank at the moment.  that was a crude trick.
","okay , but i have got a idea to have a drink ."
103,"care for a stroll outside? beautiful morning. the air is like wine, the sky is a deep blue.
","yeah , but i am sorry ."
104,"florida?
","yes , but i am afraid ."
105,"down below's stanley park. on the other side of the trees, there's a beach. you can see it.  steveston's over there. coast guard station.  there's the yacht club, and beyond it, the docks. the over on the other side of the inlet, there's grouse mountain. it's about 4000 feet high. there's a restaurant on top of it. very nice restaurant.  i am sorry we couldn't have met in pleasanter circumstances, miss mayfield.",go home .
106,"i will find out, you know. perhaps not todayperhaps not tomorrow. but in the end, i will find out.
",i do n't know .
107,"i wouldn't make you talk about it. my job is the death of marry mitchell.  why cannot you give me your confidence?
",no .
108,"you will not tell me who you are? you will not even give me a chance to help you?
",i do n't know .
109,"this isn't a very good place to talk.
",i am not going to see you .
110,"i expected nothing else.
",i am not .
111,"i am about to be very silly.  a man passes a girl on the streeta very lovely girlhis eyes meet her eyes, and something reaches out and takes hold of his heart and then she goes on and is lost in the crowdand he says to himself, there goes my lost love and it's trueif he never sees her again, it's still true.  of course, after a while, he forgets or almost forgetsbecause after a while we forget almost everything.  but this man is a copper.  he gets ordersroutine ordersto go to a place and investigate a murder and everything points to a certain girl.
",where are not not .
112,"you have got a couple of hours, maybe.
",i am sorry .
113,"what are you going to dotoss your job into puget sound?  because i make you think of magnolias?  i thought policeman was something like a soldier.  that his duty came first.  however much he might happen hate it.
",i will get a little things .
114,"he could have killed me a dozen times.  you would never have known.
",i do n't know .
115,"but i tell youif you would only understand.
",i am not .
116,"good morning, mr. brandon.
",good morning .
117,"mr. reed, please, for mr.  brandon.  very well. have him call. mr. brandon is in his office now.  mr. reed stepped out, mr.  brandon.
",hello are not .
118,"i would like a few words with you, in private.
",i am not going to see you .
119,"nice friendly approach you have got. goble. i could hardly walk when i got out of bed this morning.
",i am sorry .
120,"private eye?
",yes .
121,"that is a nice hard knee you have got, goble. how would you like to trade it for a broken neck?
",i do n't know .
122,"you hurt my feelings. i ought to raise the price to be a thousand.
",i am sorry .
123,"there's two hundred. i will meet you in an hourwhere we met last night
",i am sorry .
124,"hi margo. hello killaine. you two come together?
",i do n't know .
125,"let me introduce you. mr.  killaine, mrs. west.
",i know .
126,"what will you have, margo?
",i do n't know .
127,"you make friends quickly, don't you, clark?
",i do n't know .
128,"i am sorry. this thing has just knocked me silly.  how long do we have to wait for this police character?
",i do n't know .
129,"all right, let's see the buzzer.
",i am sorry .
130,"how are your teeth getting along?
",i do n't know .
131,"what is this in favor of?
",i do n't know .
132,"what?
",i do n't know .
133,"it goes with this... cold houses and warm drinks...the effete englishman.
",i do n't know .
