,inputs,outputs
0,"i will go with you.
",you will do it .
1,"okay  got light duty, three days.
","that is good , eddie ."
2,"how the fuck you get over here man, you look like you educated...
",what do you want me to do ?
3,"you okay man? neck botherin' you?
","no , no ! i did n't say no !"
4,"no, thanks...
","you are wasting your time , lady ."
5,"...you know that night we got hit... i... 
",motherfucker ... you are a little idea .
6,"yo getting there taylor. you be cool now and i will introduce you 'round to some of the 'heads'.
","oh , i would love to be the very good if if i can not be on it ."
7,"three years, jesus, he is crazy as barnes...
",... ?
8,"must be somebody?
",no .
9,"'people say i am the life of the party cause i tell a joke or two although i may be laughing loud and hardy deep inside i am blue...'
",that is all a ...
10,"hey that is great king, that is great... you take it on home for me, you tell 'em king... got your address right? you know where you can reach men, man. anytime!
",what d'ya ?
11,"...motherfuckah, motherfuckah, i am too short to be dealing with this shit! they keep fucking with us man, no letup...
",the hell !
12,"you volunteered for this shit man?
",i just walked in .
13,"what we got here a crusader?
","he is got the fact , he is on the fucking heart i would take care of his here ."
14,"shit! morehouse and sal are short. fu sheng's going on r&r, you don't want to send their asses out on an ambush. you got the fresh meat elias.
",yeah ?
15,"excuses are like assholes, taylor  everybody got one.
",why do you have a dime ?
16,"tell six we need engineers here, this pos. is crawling with traps.
",but we were n't going to take the damn .
17,"alright, six says torch this place! blow the weapons in place. round up all suspected vee cees and shake it up! we ain't got much light left.
","yeah , probably ."
18,"sounds pretty far out to me 'lias.
",what do you want ?
19,"whatcha doing in the underworld taylor?
",yes .
20,"merle?
",yeah ?
21,"whew!  where that come from?
",i do n't know .
22,"i know barnes six months and i will tell ya something  that man is mean, red in his soul like a dick on a dog.
","sure , mom ."
23,"he done a year in japan in the hospital, then when he gets out, the first thing he done is reup. four years he been in the field...
",you are gon na ask .
24,"the good lord works his revenge in strange ways.
","no doubt , i am not afraid of highwaymen are worth ."
25,"not the only man to meet his jezebel either.
",i like it . i am always going to have to give us to him .
26,"then you jes gonna forget 'bout elias and all the good times we done had? right in here.
","no , no , i am not ."
27,"right on.
",what is the argument ?
28,"and baaaaaaa! back on you.
",what ?
29,"i didn't like it.
",you forgetting who sat next ?
30,"tennessee someplace. hill country.
",i will be there there ...
31,"well he ain't normal that is fo sure.
",you leave him to stay with you .
32,"i was home on leave y'know and everybody's just worried 'bout making money, everybody's out for themselves, they don't even want to talk about it man, it's like the fucking twilight zone back there  you wouldn't even know there's a war on here. my sister says to me why you have to go there like i started this...
","that is fine , homer ?"
33,"you wanted to see me sir?
",yes .
34,"no thanks, i have seen seattle.
",thanks for this .
35,"same as an hour ago. remember? i am the steady type.
","yes , of course ."
36,"you could tell me your name. and where you are going.
",this is madness .
37,"or reno?  they always throw them off the bridge there, i have heard.
","yeah ? you will be surprised , dad . wait to have a baby , and you are gone ."
38,"nice room. balcony and everything. lovely view too.
",thank you .
39,"i have a darned good idea you are name isn't betty mayfield at all.
","oh no , dad ."
40,"dine and dance tonight? i have got fifty bucks to throw away.
",you do n't !
41,"the brushoff, huh?
",you ai n't got any !
42,"don't i even get my face slapped?
",yes .
43,"betty, this is margo west. she wants to meet you. miss mayfield.
",what ?
44,"i think i would like to dance.
","yeah , well , you do n't wan na be happy ."
45,"please be a little more careful how you talk, mr. mitchell.
",i know my dad is not in the last time .
46,"i think you are drunk.
",you know you are here ?
47,"what is the matter, baby? don't you like being kissed?
",yes .
48,"good evening, miss.
","good evening , mademoiselle ."
